wl,n
11.06195,0.72908
11.11111,0.72617
11.16071,0.72560
11.21076,0.72717
11.26126,0.73068
11.31222,0.73599
11.36364,0.74298
11.41553,0.75154
11.46789,0.76158
11.52074,0.77303
11.57407,0.78583
11.62791,0.79990
11.68224,0.81518
11.73709,0.83162
11.79245,0.84920
11.84834,0.86790
11.90476,0.88774
11.96172,0.90879
12.01923,0.93114
12.07729,0.95490
12.13592,0.98023
12.19512,1.00724
12.25490,1.03606
12.31527,1.06677
12.37624,1.09939
12.43781,1.13389
12.50000,1.17019
12.56281,1.20815
12.62626,1.24761
12.69036,1.28836
12.75510,1.33021
12.82051,1.37296
12.88660,1.41643
12.95337,1.46046
13.02083,1.50496
13.08901,1.54987
13.15789,1.59524
13.22751,1.64118
13.29787,1.68788
13.36898,1.73559
13.44086,1.78460
13.51351,1.83517
13.58696,1.88750
13.66120,1.94170
13.73626,1.99769
13.81215,2.05527
13.88889,2.11403
13.96648,2.17347
14.04494,2.23302
14.12429,2.29211
14.20455,2.35028
14.28571,2.40723

wl,k
1.53846,0.00002
1.53941,0.00002
1.54036,0.00002
1.54131,0.00002
1.54226,0.00002
1.54321,0.00002
1.54416,0.00002
1.54512,0.00002
1.54607,0.00002
1.54703,0.00002
1.54799,0.00002
1.54895,0.00002
1.54991,0.00002
1.55087,0.00002
1.55183,0.00002
1.55280,0.00002
1.55376,0.00002
1.55473,0.00002
1.55569,0.00002
1.55666,0.00002
1.55763,0.00002
1.55860,0.00002
1.55958,0.00002
1.56055,0.00003
1.56152,0.00003
1.56250,0.00003
1.56348,0.00003
1.56446,0.00003
1.56544,0.00003
1.56642,0.00003
1.56740,0.00003
1.56838,0.00003
1.56937,0.00003
1.57035,0.00003
1.57134,0.00003
1.57233,0.00003
1.57332,0.00003
1.57431,0.00003
1.57530,0.00003
1.57629,0.00003
1.57729,0.00003
1.57828,0.00003
1.57928,0.00003
1.58028,0.00003
1.58128,0.00003
1.58228,0.00003
1.58328,0.00003
1.58428,0.00003
1.58529,0.00003
1.58629,0.00003
1.58730,0.00003
1.58831,0.00003
1.58932,0.00003
1.59033,0.00003
1.59134,0.00003
1.59236,0.00003
1.59337,0.00003
1.59439,0.00003
1.59541,0.00003
1.59642,0.00003
1.59744,0.00003
1.59847,0.00003
1.59949,0.00003
1.60051,0.00003
1.60154,0.00003
1.60256,0.00003
1.60359,0.00003
1.60462,0.00003
1.60565,0.00003
1.60668,0.00003
1.60772,0.00003
1.60875,0.00003
1.60979,0.00003
1.61082,0.00003
1.61186,0.00003
1.61290,0.00003
1.61394,0.00003
1.61499,0.00003
1.61603,0.00003
1.61708,0.00003
1.61812,0.00003
1.61917,0.00003
1.62022,0.00003
1.62127,0.00003
1.62232,0.00003
1.62338,0.00003
1.62443,0.00003
1.62549,0.00003
1.62655,0.00003
1.62760,0.00003
1.62866,0.00003
1.62973,0.00003
1.63079,0.00003
1.63185,0.00003
1.63292,0.00003
1.63399,0.00003
1.63506,0.00003
1.63613,0.00003
1.63720,0.00003
1.63827,0.00003
1.63934,0.00003
1.64042,0.00003
1.64150,0.00003
1.64258,0.00003
1.64366,0.00003
1.64474,0.00003
1.64582,0.00003
1.64690,0.00003
1.64799,0.00003
1.64908,0.00003
1.65017,0.00003
1.65125,0.00003
1.65235,0.00003
1.65344,0.00003
1.65453,0.00003
1.65563,0.00003
1.65673,0.00003
1.65782,0.00003
1.65893,0.00003
1.66003,0.00003
1.66113,0.00003
1.66223,0.00003
1.66334,0.00003
1.66445,0.00003
1.66556,0.00003
1.66667,0.00003
1.66778,0.00003
1.66889,0.00003
1.67001,0.00003
1.67112,0.00003
1.67224,0.00003
1.67336,0.00003
1.67448,0.00003
1.67560,0.00003
1.67673,0.00003
1.67785,0.00003
1.67898,0.00003
1.68011,0.00003
1.68124,0.00003
1.68237,0.00003
1.68350,0.00003
1.68464,0.00003
1.68577,0.00003
1.68691,0.00003
1.68805,0.00003
1.68919,0.00003
1.69033,0.00003
1.69147,0.00003
1.69262,0.00003
1.69377,0.00003
1.69492,0.00003
1.69607,0.00003
1.69722,0.00003
1.69837,0.00003
1.69952,0.00003
1.70068,0.00003
1.70184,0.00003
1.70300,0.00003
1.70416,0.00003
1.70532,0.00003
1.70648,0.00003
1.70765,0.00003
1.70882,0.00003
1.70999,0.00003
1.71116,0.00003
1.71233,0.00003
1.71350,0.00003
1.71468,0.00003
1.71585,0.00003
1.71703,0.00003
1.71821,0.00003
1.71939,0.00003
1.72058,0.00003
1.72176,0.00003
1.72295,0.00003
1.72414,0.00003
1.72533,0.00003
1.72652,0.00003
1.72771,0.00003
1.72891,0.00003
1.73010,0.00003
1.73130,0.00003
1.73250,0.00003
1.73370,0.00003
1.73491,0.00003
1.73611,0.00003
1.73732,0.00003
1.73853,0.00003
1.73974,0.00003
1.74095,0.00003
1.74216,0.00004
1.74338,0.00004
1.74459,0.00004
1.74581,0.00004
1.74703,0.00004
1.74825,0.00004
1.74948,0.00004
1.75070,0.00004
1.75193,0.00004
1.75316,0.00004
1.75439,0.00004
1.75562,0.00004
1.75685,0.00004
1.75809,0.00004
1.75932,0.00004
1.76056,0.00004
1.76180,0.00004
1.76305,0.00004
1.76429,0.00004
1.76554,0.00004
1.76678,0.00004
1.76803,0.00004
1.76929,0.00004
1.77054,0.00004
1.77179,0.00004
1.77305,0.00004
1.77431,0.00004
1.77557,0.00004
1.77683,0.00004
1.77809,0.00004
1.77936,0.00004
1.78063,0.00004
1.78190,0.00004
1.78317,0.00004
1.78444,0.00004
1.78571,0.00004
1.78699,0.00004
1.78827,0.00004
1.78955,0.00004
1.79083,0.00004
1.79211,0.00004
1.79340,0.00004
1.79469,0.00004
1.79598,0.00004
1.79727,0.00004
1.79856,0.00004
1.79986,0.00004
1.80115,0.00004
1.80245,0.00004
1.80375,0.00004
1.80505,0.00004
1.80636,0.00004
1.80766,0.00004
1.80897,0.00004
1.81028,0.00004
1.81159,0.00004
1.81291,0.00004
1.81422,0.00004
1.81554,0.00004
1.81686,0.00004
1.81818,0.00004
1.81951,0.00004
1.82083,0.00004
1.82216,0.00004
1.82349,0.00004
1.82482,0.00004
1.82615,0.00004
1.82749,0.00004
1.82882,0.00004
1.83016,0.00004
1.83150,0.00004
1.83284,0.00004
1.83419,0.00004
1.83554,0.00004
1.83688,0.00004
1.83824,0.00004
1.83959,0.00004
1.84094,0.00004
1.84230,0.00004
1.84366,0.00004
1.84502,0.00004
1.84638,0.00004
1.84775,0.00004
1.84911,0.00004
1.85048,0.00004
1.85185,0.00004
1.85322,0.00004
1.85460,0.00004
1.85598,0.00004
1.85736,0.00004
1.85874,0.00004
1.86012,0.00004
1.86150,0.00004
1.86289,0.00004
1.86428,0.00004
1.86567,0.00004
1.86706,0.00004
1.86846,0.00004
1.86986,0.00004
1.87126,0.00004
1.87266,0.00004
1.87406,0.00004
1.87547,0.00004
1.87688,0.00004
1.87829,0.00004
1.87970,0.00004
1.88111,0.00004
1.88253,0.00004
1.88395,0.00004
1.88537,0.00004
1.88679,0.00004
1.88822,0.00004
1.88964,0.00004
1.89107,0.00005
1.89251,0.00005
1.89394,0.00005
1.89538,0.00005
1.89681,0.00005
1.89825,0.00005
1.89970,0.00005
1.90114,0.00005
1.90259,0.00005
1.90404,0.00005
1.90549,0.00005
1.90694,0.00005
1.90840,0.00005
1.90985,0.00005
1.91131,0.00005
1.91278,0.00005
1.91424,0.00005
1.91571,0.00005
1.91718,0.00005
1.91865,0.00005
1.92012,0.00005
1.92160,0.00005
1.92308,0.00005
1.92456,0.00005
1.92604,0.00005
1.92753,0.00005
1.92901,0.00005
1.93050,0.00005
1.93199,0.00005
1.93349,0.00005
1.93498,0.00005
1.93648,0.00005
1.93798,0.00005
1.93949,0.00005
1.94099,0.00005
1.94250,0.00005
1.94401,0.00005
1.94553,0.00005
1.94704,0.00005
1.94856,0.00005
1.95008,0.00005
1.95160,0.00005
1.95313,0.00005
1.95465,0.00005
1.95618,0.00005
1.95771,0.00005
1.95925,0.00005
1.96078,0.00005
1.96232,0.00005
1.96386,0.00005
1.96541,0.00005
1.96696,0.00005
1.96850,0.00005
1.97006,0.00005
1.97161,0.00005
1.97316,0.00005
1.97472,0.00005
1.97628,0.00005
1.97785,0.00005
1.97941,0.00005
1.98098,0.00005
1.98255,0.00005
1.98413,0.00005
1.98570,0.00005
1.98728,0.00005
1.98886,0.00005
1.99045,0.00005
1.99203,0.00005
1.99362,0.00005
1.99521,0.00005
1.99681,0.00005
1.99840,0.00005
2.00000,0.00005
2.00160,0.00005
2.00321,0.00005
2.00481,0.00005
2.00642,0.00005
2.00803,0.00005
2.00965,0.00005
2.01126,0.00005
2.01288,0.00005
2.01450,0.00005
2.01613,0.00005
2.01776,0.00006
2.01939,0.00006
2.02102,0.00006
2.02265,0.00006
2.02429,0.00006
2.02593,0.00006
2.02758,0.00006
2.02922,0.00006
2.03087,0.00006
2.03252,0.00006
2.03417,0.00006
2.03583,0.00006
2.03749,0.00006
2.03915,0.00006
2.04082,0.00006
2.04248,0.00006
2.04415,0.00006
2.04583,0.00006
2.04750,0.00006
2.04918,0.00006
2.05086,0.00006
2.05255,0.00006
2.05423,0.00006
2.05592,0.00006
2.05761,0.00006
2.05931,0.00006
2.06101,0.00006
2.06271,0.00006
2.06441,0.00006
2.06612,0.00006
2.06782,0.00006
2.06954,0.00006
2.07125,0.00006
2.07297,0.00006
2.07469,0.00006
2.07641,0.00006
2.07814,0.00006
2.07987,0.00006
2.08160,0.00006
2.08333,0.00006
2.08507,0.00006
2.08681,0.00006
2.08855,0.00006
2.09030,0.00006
2.09205,0.00006
2.09380,0.00006
2.09556,0.00006
2.09732,0.00006
2.09908,0.00006
2.10084,0.00006
2.10261,0.00006
2.10438,0.00006
2.10615,0.00006
2.10793,0.00006
2.10970,0.00006
2.11149,0.00006
2.11327,0.00006
2.11506,0.00006
2.11685,0.00006
2.11864,0.00006
2.12044,0.00006
2.12224,0.00006
2.12404,0.00006
2.12585,0.00006
2.12766,0.00006
2.12947,0.00007
2.13129,0.00007
2.13311,0.00007
2.13493,0.00007
2.13675,0.00007
2.13858,0.00007
2.14041,0.00007
2.14225,0.00007
2.14408,0.00007
2.14592,0.00007
2.14777,0.00007
2.14961,0.00007
2.15146,0.00007
2.15332,0.00007
2.15517,0.00007
2.15703,0.00007
2.15889,0.00007
2.16076,0.00007
2.16263,0.00007
2.16450,0.00007
2.16638,0.00007
2.16826,0.00007
2.17014,0.00007
2.17202,0.00007
2.17391,0.00007
2.17581,0.00007
2.17770,0.00007
2.17960,0.00007
2.18150,0.00007
2.18341,0.00007
2.18531,0.00007
2.18723,0.00007
2.18914,0.00007
2.19106,0.00007
2.19298,0.00007
2.19491,0.00007
2.19684,0.00007
2.19877,0.00007
2.20070,0.00007
2.20264,0.00007
2.20459,0.00007
2.20653,0.00007
2.20848,0.00007
2.21043,0.00007
2.21239,0.00007
2.21435,0.00007
2.21631,0.00007
2.21828,0.00007
2.22025,0.00007
2.22222,0.00007
2.22420,0.00007
2.22618,0.00007
2.22816,0.00007
2.23015,0.00008
2.23214,0.00008
2.23414,0.00008
2.23614,0.00008
2.23814,0.00008
2.24014,0.00008
2.24215,0.00008
2.24417,0.00008
2.24618,0.00008
2.24820,0.00008
2.25023,0.00008
2.25225,0.00008
2.25428,0.00008
2.25632,0.00008
2.25836,0.00008
2.26040,0.00008
2.26244,0.00008
2.26449,0.00008
2.26655,0.00008
2.26860,0.00008
2.27066,0.00008
2.27273,0.00008
2.27480,0.00008
2.27687,0.00008
2.27894,0.00008
2.28102,0.00008
2.28311,0.00008
2.28519,0.00008
2.28728,0.00008
2.28938,0.00008
2.29148,0.00008
2.29358,0.00008
2.29568,0.00008
2.29779,0.00008
2.29991,0.00008
2.30203,0.00008
2.30415,0.00008
2.30627,0.00008
2.30840,0.00008
2.31054,0.00008
2.31267,0.00008
2.31481,0.00008
2.31696,0.00008
2.31911,0.00008
2.32126,0.00009
2.32342,0.00009
2.32558,0.00009
2.32775,0.00009
2.32992,0.00009
2.33209,0.00009
2.33427,0.00009
2.33645,0.00009
2.33863,0.00009
2.34082,0.00009
2.34302,0.00009
2.34522,0.00009
2.34742,0.00009
2.34962,0.00009
2.35183,0.00009
2.35405,0.00009
2.35627,0.00009
2.35849,0.00009
2.36072,0.00009
2.36295,0.00009
2.36518,0.00009
2.36742,0.00009
2.36967,0.00009
2.37192,0.00009
2.37417,0.00009
2.37643,0.00009
2.37869,0.00009
2.38095,0.00009
2.38322,0.00009
2.38550,0.00009
2.38777,0.00009
2.39006,0.00009
2.39234,0.00009
2.39464,0.00009
2.39693,0.00009
2.39923,0.00009
2.40154,0.00009
2.40385,0.00009
2.40616,0.00010
2.40848,0.00010
2.41080,0.00010
2.41313,0.00010
2.41546,0.00010
2.41779,0.00010
2.42014,0.00010
2.42248,0.00010
2.42483,0.00010
2.42718,0.00010
2.42954,0.00010
2.43191,0.00010
2.43427,0.00010
2.43665,0.00010
2.43902,0.00010
2.44141,0.00010
2.44379,0.00010
2.44618,0.00010
2.44858,0.00010
2.45098,0.00010
2.45339,0.00010
2.45580,0.00010
2.45821,0.00010
2.46063,0.00010
2.46305,0.00010
2.46548,0.00010
2.46792,0.00010
2.47036,0.00010
2.47280,0.00010
2.47525,0.00010
2.47770,0.00010
2.48016,0.00010
2.48262,0.00010
2.48509,0.00011
2.48756,0.00011
2.49004,0.00011
2.49252,0.00011
2.49501,0.00011
2.49750,0.00011
2.50000,0.00011
2.50250,0.00011
2.50501,0.00011
2.50752,0.00011
2.51004,0.00011
2.51256,0.00011
2.51509,0.00011
2.51762,0.00011
2.52016,0.00011
2.52270,0.00011
2.52525,0.00011
2.52781,0.00011
2.53036,0.00011
2.53293,0.00011
2.53550,0.00011
2.53807,0.00011
2.54065,0.00011
2.54323,0.00011
2.54582,0.00011
2.54842,0.00011
2.55102,0.00011
2.55363,0.00011
2.55624,0.00012
2.55885,0.00012
2.56148,0.00012
2.56410,0.00012
2.56674,0.00012
2.56937,0.00012
2.57202,0.00012
2.57467,0.00012
2.57732,0.00012
2.57998,0.00012
2.58264,0.00012
2.58532,0.00012
2.58799,0.00012
2.59067,0.00012
2.59336,0.00012
2.59605,0.00012
2.59875,0.00012
2.60146,0.00012
2.60417,0.00012
2.60688,0.00012
2.60960,0.00012
2.61233,0.00012
2.61506,0.00012
2.61780,0.00012
2.62055,0.00012
2.62329,0.00012
2.62605,0.00013
2.62881,0.00013
2.63158,0.00013
2.63435,0.00013
2.63713,0.00013
2.63992,0.00013
2.64271,0.00013
2.64550,0.00013
2.64831,0.00013
2.65111,0.00013
2.65393,0.00013
2.65675,0.00013
2.65957,0.00013
2.66241,0.00013
2.66525,0.00013
2.66809,0.00013
2.67094,0.00013
2.67380,0.00013
2.67666,0.00013
2.67953,0.00013
2.68240,0.00013
2.68528,0.00013
2.68817,0.00013
2.69107,0.00014
2.69397,0.00014
2.69687,0.00014
2.69978,0.00014
2.70270,0.00014
2.70563,0.00014
2.70856,0.00014
2.71150,0.00014
2.71444,0.00014
2.71739,0.00014
2.72035,0.00014
2.72331,0.00014
2.72628,0.00014
2.72926,0.00014
2.73224,0.00014
2.73523,0.00014
2.73823,0.00014
2.74123,0.00014
2.74424,0.00014
2.74725,0.00014
2.75028,0.00014
2.75330,0.00015
2.75634,0.00015
2.75938,0.00015
2.76243,0.00015
2.76549,0.00015
2.76855,0.00015
2.77162,0.00015
2.77469,0.00015
2.77778,0.00015
2.78087,0.00015
2.78396,0.00015
2.78707,0.00015
2.79018,0.00015
2.79330,0.00015
2.79642,0.00015
2.79955,0.00015
2.80269,0.00015
2.80584,0.00015
2.80899,0.00016
2.81215,0.00016
2.81532,0.00016
2.81849,0.00016
2.82167,0.00016
2.82486,0.00016
2.82805,0.00016
2.83126,0.00016
2.83447,0.00016
2.83768,0.00016
2.84091,0.00016
2.84414,0.00016
2.84738,0.00016
2.85063,0.00016
2.85388,0.00016
2.85714,0.00016
2.86041,0.00016
2.86369,0.00016
2.86697,0.00017
2.87026,0.00017
2.87356,0.00017
2.87687,0.00017
2.88018,0.00017
2.88351,0.00017
2.88684,0.00017
2.89017,0.00017
2.89352,0.00017
2.89687,0.00017
2.90023,0.00017
2.90360,0.00017
2.90698,0.00017
2.91036,0.00017
2.91375,0.00017
2.91715,0.00017
2.92056,0.00018
2.92398,0.00018
2.92740,0.00018
2.93083,0.00018
2.93427,0.00018
2.93772,0.00018
2.94118,0.00018
2.94464,0.00018
2.94811,0.00018
2.95159,0.00018
2.95508,0.00018
2.95858,0.00018
2.96209,0.00018
2.96560,0.00018
2.96912,0.00019
2.97265,0.00019
2.97619,0.00019
2.97974,0.00019
2.98329,0.00019
2.98686,0.00019
2.99043,0.00019
2.99401,0.00019
2.99760,0.00019
3.00120,0.00019
3.00481,0.00019
3.00842,0.00019
3.01205,0.00019
3.01568,0.00019
3.01932,0.00020
3.02297,0.00020
3.02663,0.00020
3.03030,0.00020
3.03398,0.00020
3.03767,0.00020
3.04136,0.00020
3.04507,0.00020
3.04878,0.00020
3.05250,0.00020
3.05623,0.00020
3.05998,0.00020
3.06373,0.00020
3.06748,0.00021
3.07125,0.00021
3.07503,0.00021
3.07882,0.00021
3.08261,0.00021
3.08642,0.00021
3.09023,0.00021
3.09406,0.00021
3.09789,0.00021
3.10174,0.00021
3.10559,0.00021
3.10945,0.00021
3.11333,0.00022
3.11721,0.00022
3.12110,0.00022
3.12500,0.00022
3.12891,0.00022
3.13283,0.00022
3.13676,0.00022
3.14070,0.00022
3.14465,0.00022
3.14861,0.00022
3.15259,0.00022
3.15657,0.00023
3.16056,0.00023
3.16456,0.00023
3.16857,0.00023
3.17259,0.00023
3.17662,0.00023
3.18066,0.00023
3.18471,0.00023
3.18878,0.00023
3.19285,0.00023
3.19693,0.00023
3.20102,0.00024
3.20513,0.00024
3.20924,0.00024
3.21337,0.00024
3.21750,0.00024
3.22165,0.00024
3.22581,0.00024
3.22997,0.00024
3.23415,0.00024
3.23834,0.00024
3.24254,0.00025
3.24675,0.00025
3.25098,0.00025
3.25521,0.00025
3.25945,0.00025
3.26371,0.00025
3.26797,0.00025
3.27225,0.00025
3.27654,0.00025
3.28084,0.00026
3.28515,0.00026
3.28947,0.00026
3.29381,0.00026
3.29815,0.00026
3.30251,0.00026
3.30688,0.00026
3.31126,0.00026
3.31565,0.00026
3.32005,0.00027
3.32447,0.00027
3.32889,0.00027
3.33333,0.00027
3.33778,0.00027
3.34225,0.00027
3.34672,0.00027
3.35121,0.00027
3.35570,0.00027
3.36022,0.00028
3.36474,0.00028
3.36927,0.00028
3.37382,0.00028
3.37838,0.00028
3.38295,0.00028
3.38753,0.00028
3.39213,0.00028
3.39674,0.00029
3.40136,0.00029
3.40599,0.00029
3.41064,0.00029
3.41530,0.00029
3.41997,0.00029
3.42466,0.00029
3.42936,0.00030
3.43407,0.00030
3.43879,0.00030
3.44353,0.00030
3.44828,0.00030
3.45304,0.00030
3.45781,0.00030
3.46260,0.00030
3.46741,0.00031
3.47222,0.00031
3.47705,0.00031
3.48189,0.00031
3.48675,0.00031
3.49162,0.00031
3.49650,0.00031
3.50140,0.00032
3.50631,0.00032
3.51124,0.00032
3.51617,0.00032
3.52113,0.00032
3.52609,0.00032
3.53107,0.00032
3.53607,0.00033
3.54108,0.00033
3.54610,0.00033
3.55114,0.00033
3.55619,0.00033
3.56125,0.00033
3.56633,0.00034
3.57143,0.00034
3.57654,0.00034
3.58166,0.00034
3.58680,0.00034
3.59195,0.00034
3.59712,0.00035
3.60231,0.00035
3.60750,0.00035
3.61272,0.00035
3.61795,0.00035
3.62319,0.00035
3.62845,0.00036
3.63372,0.00036
3.63901,0.00036
3.64431,0.00036
3.64964,0.00036
3.65497,0.00036
3.66032,0.00037
3.66569,0.00037
3.67107,0.00037
3.67647,0.00037
3.68189,0.00037
3.68732,0.00037
3.69276,0.00038
3.69822,0.00038
3.70370,0.00038
3.70920,0.00038
3.71471,0.00038
3.72024,0.00039
3.72578,0.00039
3.73134,0.00039
3.73692,0.00039
3.74251,0.00039
3.74813,0.00040
3.75375,0.00040
3.75940,0.00040
3.76506,0.00040
3.77074,0.00040
3.77644,0.00041
3.78215,0.00041
3.78788,0.00041
3.79363,0.00041
3.79939,0.00041
3.80518,0.00042
3.81098,0.00042
3.81679,0.00042
3.82263,0.00042
3.82848,0.00043
3.83436,0.00043
3.84025,0.00043
3.84615,0.00043
3.85208,0.00043
3.85802,0.00044
3.86399,0.00044
3.86997,0.00044
3.87597,0.00044
3.88199,0.00045
3.88802,0.00045
3.89408,0.00045
3.90016,0.00045
3.90625,0.00045
3.91236,0.00046
3.91850,0.00046
3.92465,0.00046
3.93082,0.00046
3.93701,0.00047
3.94322,0.00047
3.94945,0.00047
3.95570,0.00047
3.96197,0.00048
3.96825,0.00048
3.97456,0.00048
3.98089,0.00048
3.98724,0.00049
3.99361,0.00049
4.00000,0.00049
4.00641,0.00050
4.01284,0.00050
4.01929,0.00050
4.02576,0.00050
4.03226,0.00051
4.03877,0.00051
4.04531,0.00051
4.05186,0.00051
4.05844,0.00052
4.06504,0.00052
4.07166,0.00052
4.07830,0.00053
4.08497,0.00053
4.09165,0.00053
4.09836,0.00054
4.10509,0.00054
4.11184,0.00054
4.11862,0.00054
4.12541,0.00055
4.13223,0.00055
4.13907,0.00055
4.14594,0.00056
4.15282,0.00056
4.15973,0.00056
4.16667,0.00057
4.17362,0.00057
4.18060,0.00057
4.18760,0.00058
4.19463,0.00058
4.20168,0.00058
4.20875,0.00059
4.21585,0.00059
4.22297,0.00059
4.23012,0.00060
4.23729,0.00060
4.24448,0.00060
4.25170,0.00061
4.25894,0.00061
4.26621,0.00061
4.27350,0.00062
4.28082,0.00062
4.28816,0.00063
4.29553,0.00063
4.30293,0.00063
4.31034,0.00064
4.31779,0.00064
4.32526,0.00064
4.33276,0.00065
4.34028,0.00065
4.34783,0.00066
4.35540,0.00066
4.36300,0.00066
4.37063,0.00067
4.37828,0.00067
4.38596,0.00068
4.39367,0.00068
4.40141,0.00069
4.40917,0.00069
4.41696,0.00069
4.42478,0.00070
4.43262,0.00070
4.44050,0.00071
4.44840,0.00071
4.45633,0.00072
4.46429,0.00072
4.47227,0.00072
4.48029,0.00073
4.48833,0.00073
4.49640,0.00074
4.50450,0.00074
4.51264,0.00075
4.52080,0.00075
4.52899,0.00076
4.53721,0.00076
4.54545,0.00077
4.55373,0.00077
4.56204,0.00078
4.57038,0.00078
4.57875,0.00079
4.58716,0.00079
4.59559,0.00080
4.60405,0.00080
4.61255,0.00081
4.62107,0.00081
4.62963,0.00082
4.63822,0.00082
4.64684,0.00083
4.65549,0.00084
4.66418,0.00084
4.67290,0.00085
4.68165,0.00085
4.69043,0.00086
4.69925,0.00086
4.70810,0.00087
4.71698,0.00088
4.72590,0.00088
4.73485,0.00089
4.74383,0.00089
4.75285,0.00090
4.76190,0.00091
4.77099,0.00091
4.78011,0.00092
4.78927,0.00092
4.79846,0.00093
4.80769,0.00094
4.81696,0.00094
4.82625,0.00095
4.83559,0.00096
4.84496,0.00096
4.85437,0.00097
4.86381,0.00098
4.87329,0.00099
4.88281,0.00099
4.89237,0.00100
4.90196,0.00101
4.91159,0.00101
4.92126,0.00102
4.93097,0.00103
4.94071,0.00104
4.95050,0.00104
4.96032,0.00105
4.97018,0.00106
4.98008,0.00107
4.99002,0.00107
5.00000,0.00108
5.01002,0.00109
5.02008,0.00110
5.03018,0.00111
5.04032,0.00111
5.05051,0.00112
5.06073,0.00113
5.07099,0.00114
5.08130,0.00115
5.09165,0.00116
5.10204,0.00117
5.11247,0.00118
5.12295,0.00118
5.13347,0.00119
5.14403,0.00120
5.15464,0.00121
5.16529,0.00122
5.17598,0.00123
5.18672,0.00124
5.19751,0.00125
5.20833,0.00126
5.21921,0.00127
5.23013,0.00128
5.24109,0.00129
5.25210,0.00130
5.26316,0.00131
5.27426,0.00132
5.28541,0.00133
5.29661,0.00134
5.30786,0.00135
5.31915,0.00136
5.33049,0.00138
5.34188,0.00139
5.35332,0.00140
5.36481,0.00141
5.37634,0.00142
5.38793,0.00143
5.39957,0.00145
5.41126,0.00146
5.42299,0.00147
5.43478,0.00148
5.44662,0.00149
5.45852,0.00151
5.47046,0.00152
5.48246,0.00153
5.49451,0.00155
5.50661,0.00156
5.51876,0.00157
5.53097,0.00159
5.54324,0.00160
5.55556,0.00161
5.56793,0.00163
5.58036,0.00164
5.59284,0.00166
5.60538,0.00167
5.61798,0.00169
5.63063,0.00170
5.64334,0.00172
5.65611,0.00173
5.66893,0.00175
5.68182,0.00176
5.69476,0.00178
5.70776,0.00180
5.72082,0.00181
5.73394,0.00183
5.74713,0.00185
5.76037,0.00186
5.77367,0.00188
5.78704,0.00190
5.80046,0.00192
5.81395,0.00193
5.82751,0.00195
5.84112,0.00197
5.85480,0.00199
5.86854,0.00201
5.88235,0.00203
5.89623,0.00205
5.91017,0.00207
5.92417,0.00209
5.93824,0.00211
5.95238,0.00213
5.96659,0.00215
5.98086,0.00217
5.99520,0.00219
6.00962,0.00221
6.02410,0.00224
6.03865,0.00226
6.05327,0.00228
6.06796,0.00230
6.08273,0.00233
6.09756,0.00235
6.11247,0.00238
6.12745,0.00240
6.14251,0.00243
6.15764,0.00245
6.17284,0.00248
6.18812,0.00250
6.20347,0.00253
6.21891,0.00256
6.23441,0.00258
6.25000,0.00261
6.26566,0.00264
6.28141,0.00267
6.29723,0.00270
6.31313,0.00273
6.32911,0.00276
6.34518,0.00279
6.36132,0.00282
6.37755,0.00285
6.39386,0.00288
6.41026,0.00292
6.42674,0.00295
6.44330,0.00298
6.45995,0.00302
6.47668,0.00305
6.49351,0.00309
6.51042,0.00312
6.52742,0.00316
6.54450,0.00320
6.56168,0.00324
6.57895,0.00327
6.59631,0.00331
6.61376,0.00335
6.63130,0.00339
6.64894,0.00344
6.66667,0.00348
6.68449,0.00352
6.70241,0.00356
6.72043,0.00361
6.73854,0.00365
6.75676,0.00370
6.77507,0.00375
6.79348,0.00380
6.81199,0.00384
6.83060,0.00389
6.84932,0.00395
6.86813,0.00400
6.88705,0.00405
6.90608,0.00410
6.92521,0.00416
6.94444,0.00422
6.96379,0.00427
6.98324,0.00433
7.00280,0.00439
7.02247,0.00445
7.04225,0.00451
7.06215,0.00458
7.08215,0.00464
7.10227,0.00471
7.12251,0.00477
7.14286,0.00484
7.16332,0.00491
7.18391,0.00499
7.20461,0.00506
7.22543,0.00514
7.24638,0.00521
7.26744,0.00529
7.28863,0.00537
7.30994,0.00545
7.33138,0.00554
7.35294,0.00563
7.37463,0.00571
7.39645,0.00580
7.41840,0.00590
7.44048,0.00599
7.46269,0.00609
7.48503,0.00619
7.50751,0.00629
7.53012,0.00640
7.55287,0.00650
7.57576,0.00661
7.59878,0.00673
7.62195,0.00684
7.64526,0.00696
7.66871,0.00709
7.69231,0.00721
7.71605,0.00734
7.73994,0.00748
7.76398,0.00761
7.78816,0.00775
7.81250,0.00790
7.83699,0.00805
7.86164,0.00820
7.88644,0.00836
7.91139,0.00852
7.93651,0.00869
7.96178,0.00886
7.98722,0.00904
8.01282,0.00922
8.03859,0.00941
8.06452,0.00961
8.09061,0.00981
8.11688,0.01002
8.14332,0.01024
8.16993,0.01046
8.19672,0.01069
8.22368,0.01093
8.25083,0.01118
8.27815,0.01144
8.30565,0.01171
8.33333,0.01198
8.36120,0.01227
8.38926,0.01257
8.41751,0.01288
8.44595,0.01320
8.47458,0.01354
8.50340,0.01389
8.53242,0.01425
8.56164,0.01463
8.59107,0.01503
8.62069,0.01544
8.65052,0.01587
8.68056,0.01632
8.71080,0.01679
8.74126,0.01728
8.77193,0.01780
8.80282,0.01834
8.83392,0.01891
8.86525,0.01951
8.89680,0.02013
8.92857,0.02079
